"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2023,Еврейская автономная область,1941,243,847,421,229,156,46
2023,Забайкальский край,8072,458,3000,1807,1140,1357,310
2023,Запорожская область,3407,154,1274,1249,407,294,29
2023,Ивановская область,6346,351,2882,1351,617,994,152
2023,Иркутская область,18530,835,7903,3696,2260,3253,583
2023,Кабардино-Балкарская Республика,9803,270,5849,2006,581,893,204
2023,Калининградская область,10838,1151,4980,1982,1056,1326,343
2023,Калужская область,5940,337,2513,1235,757,955,143
2023,Камчатский край,3608,325,1558,717,440,485,84
2023,Карачаево-Черкесская Республика,3664,130,2413,662,240,200,19
2023,Кемеровская область - Кузбасс,30911,3296,13345,5567,2709,5000,995
2023,Кировская область,10376,794,5126,2193,869,1178,217
2023,Костромская область,4021,206,1797,845,439,616,119
2023,Краснодарский край,59535,3158,27795,13466,5618,8058,1444
2023,Красноярский край,22407,868,9012,4566,2782,4294,886
2023,Курганская область,8275,627,4483,1746,462,709,249
2023,Курская область,11391,478,5340,3736,804,910,124
2023,Ленинградская область,14191,2121,5550,1967,1770,2369,415
2023,Липецкая область,14471,2092,7564,2001,1114,1568,133
2023,Луганская Народная Республика,4528,228,1942,1339,473,471,75
2023,Магаданская область,1412,122,612,288,202,158,30
2023,Москва,232974,7490,96979,64642,25322,33216,5343
2023,Московская область,27214,1162,13187,5330,2644,4253,638
2023,Мурманская область,7488,555,2779,1330,1119,1505,200
2023,Ненецкий автономный округ,680,116,184,165,155,51,9
2023,Нижегородская область,23088,1665,10038,5373,2210,3319,483
2023,Новгородская область,9000,590,3842,1723,978,1606,261
2023,Новосибирская область,19655,778,7228,5748,2100,3224,578
2023,Омская область,12293,443,3932,3357,1484,2525,553
2023,Оренбургская область,25051,2503,12553,5235,1723,2586,452
2023,Орловская область,4901,189,1466,1641,672,833,100
2023,Пензенская область,12933,1566,6145,2181,1146,1516,379
2023,Пермский край,17186,531,6357,4279,1954,3329,737
2023,Приморский край,14167,708,5443,3762,1462,2269,524
2023,Псковская область,5282,208,2258,1592,540,604,80
2023,Республика Адыгея,5120,865,2150,877,478,587,164
2023,Республика Алтай,2923,323,1304,482,362,385,67
2023,Республика Башкортостан,37946,1438,17383,8285,3664,6132,1049
2023,Республика Бурятия,11704,676,5694,2512,989,1489,344
2023,Республика Дагестан,17389,799,8410,3971,1426,2156,627
2023,Республика Ингушетия,5477,228,2994,1506,470,239,40
2023,Республика Калмыкия,3114,144,1991,577,186,178,39
2023,Республика Карелия,4575,251,1639,914,607,1010,157
2023,Республика Коми,8155,1015,3687,1295,809,1173,176
2023,Республика Крым,9951,547,4218,1820,1228,1903,235
2023,Республика Марий Эл,7061,799,3452,1457,497,692,165
2023,Республика Мордовия,5294,186,2661,1333,490,522,102
2023,Республика Саха (Якутия),7923,344,3611,1997,968,826,177
2023,Республика Северная Осетия - Алания,4329,307,1979,1146,444,400,53
2023,Республика Татарстан (Татарстан),67000,8285,30527,12011,5192,9063,1927
2023,Республика Тыва,5741,247,2208,2198,687,369,32
2023,Республика Хакасия,3912,204,1715,815,508,549,121
2023,Ростовская область,54220,2831,25491,11423,4821,8157,1499
2023,Рязанская область,14119,1387,6051,3815,1057,1529,280
2023,Самарская область,41994,2868,19851,8916,3002,4944,2416
2023,Санкт-Петербург,62643,2457,17490,20327,8982,11540,1850
2023,Саратовская область,34943,5866,15963,5832,2703,3932,655
2023,Сахалинская область,3803,299,1337,631,559,660,317
2023,Свердловская область,47871,2119,20800,10300,4990,7990,1675
2023,Севастополь,6845,708,2018,2320,667,964,168
2023,Смоленская область,6735,488,3474,1581,487,581,125
2023,Ставропольский край,19843,501,9256,4600,1961,2985,540
2023,Тамбовская область,7829,480,3927,1683,661,877,201
2023,Тверская область,7349,385,3369,1510,870,1065,150
2023,Томская область,9415,216,3565,2860,948,1456,370
2023,Тульская область,21247,1511,9312,5415,1820,2545,645
2023,Тюменская область,15992,1224,6248,3647,1696,2028,1149
2023,Удмуртская Республика,13715,993,7020,2794,1053,1425,430
2023,Ульяновская область,11058,453,4876,2494,1003,1603,630
2023,Хабаровский край,10535,682,4373,2253,1210,1691,327
2023,Ханты-Мансийский автономный округ - Югра,19780,904,7007,3637,2525,4900,807
2023,Херсонская область,696,70,208,235,124,54,5
2023,Челябинская область,29458,1415,11951,5834,3541,5580,1137
2023,Чеченская Республика,9571,1174,4170,2258,1112,720,138
2023,Чувашская Республика - Чувашия,36960,5481,18234,5038,2576,4172,1467
2023,Чукотский автономный округ,645,93,191,186,114,53,8
2023,Ямало-Ненецкий автономный округ,10317,1214,3337,1231,1461,2744,331
2023,Ярославская область,13827,583,6697,3099,1288,1811,349
2022,"",6810,72,2787,1446,1058,1260,187
2022,Алтайский край,10718,340,4317,2988,1176,1460,437
2022,Амурская область,12834,1386,6337,2656,925,1306,226
2022,Архангельская область,6604,284,2693,1250,913,1172,292
2022,Астраханская область,12517,1345,4768,2499,1534,1919,453
2022,Белгородская область,26071,1020,9832,8449,2811,3290,670
2022,Брянская область,7382,249,3166,1484,1070,1220,193
2022,Владимирская область,8139,264,3203,1903,984,1507,278
2022,Волгоградская область,28886,2167,11736,6623,2804,4472,1084
2022,Вологодская область,11057,236,2538,1435,2388,3662,798
2022,Воронежская область,20445,555,9014,3883,2659,3810,526
2022,Донецкая Народная Республика,4081,13,208,2488,1127,207,38
2022,Еврейская автономная область,2907,226,1105,543,309,608,116
2022,Забайкальский край,4056,136,1383,1251,534,636,116
2022,Запорожская область,391,0,48,199,87,57,0
2022,Ивановская область,6381,228,3667,1300,386,645,155
2022,Иркутская область,14580,630,6705,2643,1827,2475,301
2022,Кабардино-Балкарская Республика,10059,201,5852,2001,788,1010,207
2022,Калининградская область,12125,859,5012,1970,1654,2159,473
2022,Калужская область,6612,457,2590,1760,683,976,147
2022,Камчатский край,2675,114,1375,477,279,330,100
2022,Карачаево-Черкесская Республика,2793,20,1607,687,184,229,66
2022,Кемеровская область - Кузбасс,21800,485,10526,4978,2270,2987,555
2022,Кировская область,11169,932,5524,1778,1147,1555,233
2022,Костромская область,4838,120,1971,750,575,1192,230
2022,Краснодарский край,57290,2020,30048,11539,5548,7050,1089
2022,Красноярский край,15890,666,6049,3431,2121,2977,646
2022,Курганская область,9614,1023,5094,1953,471,830,243
2022,Курская область,9677,276,4528,3180,599,754,340
2022,Ленинградская область,9772,700,3973,1685,1253,1828,333
2022,Липецкая область,17518,1467,8302,2946,1850,2604,349
2022,Луганская Народная Республика,2402,34,492,865,546,375,90
2022,Магаданская область,1632,55,530,325,289,376,57
2022,Москва,69014,686,16378,23248,12875,14107,1720
2022,Московская область,52905,755,21775,18242,4322,6785,1026
